rank,name,genre,esrb_rating,platform,publisher,developer,global_sales,na_sales,pal_sales,jp_sales,other_sales,year,critic_score,user_score
2419,Return to Castle Wolfenstein,Shooter,,PC,Activision,Gray Matter Studios,1.0,,,,,2001,,
2422,StarCraft II: Legacy of the Void,Strategy,T,PC,Blizzard Entertainment,Blizzard Entertainment,1.0,,,,,2015,88.0,8.3
2430,Hollow Knight,Action-Adventure,RP,PC,Team Cherry,Team Cherry,1.0,,,,,2017,,
2449,Lego Marvel Super Heroes,Action,E10,PC,Warner Bros. Interactive Entertainment,Traveller's Tales,0.99,,,,,2013,,
2457,DmC Devil May Cry,Action,M,PC,Capcom,QLOC,0.99,,,,,2013,,
2461,Ryse: Son of Rome,Action,M,PC,Crytek,Crytek,0.98,,,,,2014,,
2481,Fallout 3,Role-Playing,M,PC,Bethesda Softworks,Bethesda Game Studios,0.98,0.02,0.88,,0.07,2008,91.0,7.9
2482,The Witcher 2: Assassins of Kings,Role-Playing,M,PC,Atari,CD Projekt Red Studio,0.98,0.27,0.56,,0.14,2011,88.0,8.5
2489,Dragon's Dogma: Dark Arisen,Role-Playing,M,PC,Capcom,Capcom,0.97,,,,,2016,,
2498,Grand Theft Auto: San Andreas,Action,M,PC,Rockstar Games,Rockstar North,0.97,0.0,0.93,,0.04,2005,93.0,8.9
2504,Kingdoms of Amalur: Reckoning,Role-Playing,M,PC,Electronic Arts,38 Studios,0.96,,,,,2012,81.0,6.6
2515,Mass Effect 3,Role-Playing,M,PC,Electronic Arts,BioWare,0.96,0.4,0.45,,0.11,2012,89.0,5.5
2516,Firewatch,Misc,,PC,Unknown,Unknown,0.96,,,,,2016,,
2520,Hammerwatch,Misc,,PC,Unknown,Unknown,0.96,,,,,2013,,
2529,Total War: Warhammer II,Strategy,,PC,Sega,Creative Assembly,0.96,,,,,2017,,
2530,Football Manager 2018,Simulation,,PC,Sega,Sports Interactive,0.96,,,,,2017,,
2541,Move or Die,Party,,PC,Unknown,Those Awesome Guys,0.95,,,,,2005,,
2543,Poker Night at the Inventory,Misc,,PC,Telltale Games,Telltale Games,0.95,,,,,2010,,
